"gameid","period","possessionnumber","eventnum","x","y","value","playerid","made","time","margin","shotquality","blocked","blockplayerid","assisted","assistplayerid","putback","shottype","oreboundedshoteventnum","oreboundedrebeventnum","lineupid","opplineupid","and1","wide_open","pass_from_x","pass_from_y","pass_from_player_id","catch_and_shoot","seconds_remaining_on_shot_clock"
"0021900126",3,19,390,233,17,3,202340,False,472,8,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"201580-201980-202340-203076-2544","1628389-1629130-1629134-202710-203086",False,"false","-14","250","2544","true","19"
"0021900139",4,43,655,234,29,3,203076,False,70,-8,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1628398-201980-202340-203076-2544","1626181-1627783-1627832-1628384-201188",False,"false","20","60","2544","true","17"
"0021900159",1,21,58,197,169,3,201162,True,439,1,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201162-201580-201980-202340-2544","1626156-1626161-1629673-203110-203922",False,"false","14","250","2544","true","4"
"0021900159",1,27,78,-96,234,3,201162,True,319,6,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201162-201580-201980-202340-2544","1626156-1626161-1629673-203110-203922",False,"true","77","150","2544","true","3"
"0021900159",2,38,282,134,222,3,1628398,True,182,9,NULL,NULL,0,True,2544,False,"Arc3",280,281,"1628398-201980-202340-2544-2730","1626156-1626161-1629672-1629673-203922",False,"false","46","150","2544","true","12"
"0021900151",1,6,21,231,92,3,201980,True,621,-2,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201580-201980-202340-203076-2544","1626162-1626164-201937-203382-203967",False,"true","-168","190","2544","true","16"
"0021900151",1,10,35,236,13,3,201980,False,568,3,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"201580-201980-202340-203076-2544","1626162-1626164-201937-203382-203967",False,"false","93","230","2544","true","9"
"0021900151",2,13,207,9,251,3,1626188,True,546,-5,NULL,NULL,0,True,2544,False,"Arc3",197,198,"1626188-1627936-1628398-2544-2730","1626162-201937-203382-203967-204020",False,"false","90","50","2544","true","3"
"0021900151",2,19,225,226,67,3,1626188,False,464,-3,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1626188-1627936-1628398-2544-2730","1626162-1626163-201937-203967-204020",False,"false","0","190","2544","true","18"
"0021900151",3,1,327,227,15,3,202340,False,703,2,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"201580-201980-202340-203076-2544","1626162-1626164-201937-203382-203967",False,"true","-115","100","2544","true","8"
"0021900151",4,38,622,161,196,3,203076,False,216,0,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-202340-203076-2544","1626164-1629661-201937-203382-203967",False,"true","-70","40","2544","true","14"
"0021900174",1,24,82,226,48,3,1627936,False,364,-6,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1627936-201580-201980-203076-2544","1626158-1627741-202357-202709-203084",False,"false","22","130","2544","true","19"
"0021900174",1,28,101,-160,192,3,1627936,True,284,-4,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1627936-201580-201980-203076-2544","1626158-1627741-1627812-202357-203992",False,"false","137","30","2544","true","8"
"0021900174",2,7,198,-67,250,3,1628398,True,609,-6,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1628398-200765-203484-2544-2730","1627812-202709-203084-203473-203992",False,"false","-80","130","2544","true","17"
"0021900174",2,43,316,224,34,3,201980,False,24,-1,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1627936-201980-203076-2544-2730","1627741-202357-202709-203084-203992",False,"false","55","140","2544","true","16"
"0021900174",3,23,397,172,226,3,1628398,False,371,7,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-201980-203076-2544","1626158-1627741-202709-203084-203992",False,"false","11","260","2544","true","18"
"0021900174",3,29,412,-237,8,3,201980,False,284,4,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1627936-1628398-201980-203076-2544","1626158-1627741-1627812-203084-203992",False,"false","-32","90","2544","true","8"
"0021900159",3,8,363,230,22,3,201980,True,612,11,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"1628398-201580-201980-202340-2544","1626156-1626161-1629673-203110-203922",False,"false","212","120","2544","true","13"
"0021900159",3,12,373,122,231,3,1628398,True,544,16,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1628398-201580-201980-202340-2544","1626156-1626161-1629673-203110-203922",False,"false","220","120","2544","true","11"
"0021900188",1,5,14,90,243,3,203484,False,646,0,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","1627745-1629027-1629629-1629631-203953",False,"false","-90","310","2544","true","19"
"0021900188",1,15,34,174,210,3,201980,True,526,9,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","1627745-1629027-1629629-1629631-203953",False,"false","-2","290","2544","true","14"
"0021900188",2,30,282,219,156,3,200765,True,266,22,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1628398-200765-201980-2544-2730","1627761-202323-202718-203458-203459",False,"true","5","140","2544","true","16"
"0021900188",3,24,425,112,246,3,203076,False,352,16,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","1627745-1629027-1629629-1629631-203953",False,"false","-72","180","2544","true","13"
"0021900188",4,5,555,-234,41,3,1628398,True,602,16,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"1628398-200765-203584-2544-2730","1627745-1627761-1629027-1629631-203953",False,"true","122","220","2544","true","5"
"0021900188",4,7,558,-51,268,3,1628398,True,560,17,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1628398-200765-203584-2544-2730","1627745-1627761-1629027-1629631-203953",False,"false","138","230","2544","true","7"
"0021900188",4,19,604,185,170,3,1628398,False,402,20,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-200765-2544-2730","1627745-1629027-1629629-1629631-203953",False,"false","-103","40","2544","true","14"
"0021900174",4,16,534,156,215,3,1628398,False,423,4,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1628398-200765-203484-2544-2730","1626158-1627741-1627812-203084-203992",False,"false","-180","140","2544","true","6"
"0021900174",4,22,559,154,221,3,203076,False,296,1,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-203076-203484-2544-2730","1626158-1627741-1627812-203084-203992",False,"false","17","250","2544","true","14"
"0021900201",1,26,93,111,255,3,1628398,False,351,4,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1628398-200765-201980-203076-2544","1628390-1628983-201568-203457-203471",False,"false","-127","280","2544","true","18"
"0021900220",1,21,53,227,44,3,203484,False,438,-3,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"201580-201980-203076-203484-2544","101108-1628390-1628983-201568-203500",False,"true","-180","170","2544","true","15"
"0021900220",2,18,204,221,132,3,1628398,False,486,-3,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-200765-2544-2730","1628977-1628983-1629647-203471-203488",False,"false","183","370","2544","true","21"
"0021900201",2,11,226,180,190,3,200765,False,543,5,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-200765-203484-2544-2730","101108-1628390-1629126-203457-203471",False,"false","86","30","2544","true","6"
"0021900201",2,39,321,-147,213,3,200765,False,96,8,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"200765-203076-203484-2544-2730","1628390-1628983-201568-203471-203500",False,"false","54","260","2544","true","1"
"0021900201",3,5,366,226,139,3,203484,False,639,8,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","101108-1628390-1628983-201568-203500",False,"false","7","290","2544","true","10"
"0021900201",4,36,649,227,29,3,201980,False,103,4,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"201580-201980-203076-203484-2544","101108-1628983-201568-203457-203471",False,"false","65","-20","2544","true","3"
"0021900232",2,27,253,-230,80,3,200765,True,338,-14,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"1628398-200765-203484-2544-2730","1628415-1629630-202685-203109-203524",False,"false","32","150","2544","true","12"
"0021900232",2,39,290,232,-15,3,203076,False,156,-5,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"201980-203076-203484-2544-2730","1626145-1629634-1629741-202685-203109",False,"false","59","50","2544","true","1"
"0021900232",3,17,406,-127,221,3,203076,False,462,-2,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","1628415-1628991-1629630-202685-203109",False,"false","-128","40","2544","true","9"
"0021900220",2,52,337,-93,254,3,203076,True,10,-5,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","101108-1628390-1628983-201568-203500",False,"false","-195","140","2544","true","5"
"0021900220",2,54,345,195,176,3,203484,True,0,-4,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"200765-201980-203076-203484-2544","101108-1628390-1628983-201568-203500",False,"false","16","250","2544","true","1"
"0021900220",3,2,356,-227,-15,3,201980,True,678,-3,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"201580-201980-203076-203484-2544","101108-1628390-1628983-201568-203500",False,"false","95","20","2544","true","9"
