game_id,player_id,team_id,opponent_team_id,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,seconds_per_touch,dribbles_per_touch,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def,avg_speed,avg_speed_off,avg_speed_def
0041900122,203526,1610612755,1610612738,14.75,30,30,6,1,2,0,0,2,4,2,0,0,27,27,3,0,1,5,4,6,0,0,0,0,32,7,3.1,5.82,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,5703,1.08,0.61,0.47,4.24,4.64,3.84
0041900122,203658,1610612755,1610612738,6.52,15,15,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,1,1,0,1,8,2,0.2,1.14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2637,0.5,0.27,0.23,4.26,5.48,3.2
0041900122,203935,1610612738,1610612755,29.93,60,59,6,2,4,2,2,7,0,0,1,1,29,34,2,0,0,3,2,5,1,1,0,1,42,19,2.2,3.19,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,3,4,0,10942,2.07,1.07,1.0,3.98,4.36,3.65
0041900122,203954,1610612755,1610612738,34.33,65,65,4,1,2,3,4,5,0,0,0,2,48,55,3,1,0,8,4,9,0,1,5,8,79,55,3.1,2.37,0.82,6,2,4,1,2,5,1,0,0,1,5,1,2,2,2,4,0,0,0,0,14,3,6,6,6,13,5,2,0,3,0,0,0,4,0,10,6,4,18,4,11903,2.25,1.28,0.97,3.82,4.07,3.51
0041900122,1626196,1610612755,1610612738,28.92,57,56,11,3,6,4,4,10,3,1,0,2,24,32,3,0,1,6,4,6,0,0,1,1,40,26,2.5,3.73,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2,3,0,11745,2.22,1.27,0.96,4.32,4.8,4.2
0041900122,1627759,1610612738,1610612755,28.43,56,57,3,1,1,0,0,2,2,1,0,0,16,20,1,0,1,4,2,3,0,1,0,0,32,14,1.4,2.68,1.94,2,1,1,2,2,4,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,2,0,3,0,3,6,0,10698,2.03,1.03,1.0,3.99,4.23,3.76
0041900122,1627788,1610612755,1610612738,15.82,33,34,1,0,0,0,0,0,0,0,1,0,11,15,2,0,1,3,3,4,1,0,0,0,17,13,0.6,2.26,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,6349,1.2,0.59,0.61,4.22,4.59,3.92
0041900122,1628369,1610612738,1610612755,30.9,60,58,9,2,4,1,2,5,3,0,0,1,48,44,5,0,0,6,5,12,0,0,0,1,72,25,4.8,3.96,3.07,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,4,1,3,7,0,12023,2.28,1.29,0.98,4.22,4.89,3.59
0041900122,1628400,1610612738,1610612755,9.2,20,20,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,1,0,0,0,0,1,1,17,4,0.6,2.06,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3767,0.71,0.4,0.32,4.32,5.02,3.63
0041900122,1628464,1610612738,1610612755,12.48,25,24,0,0,0,0,0,0,0,0,0,0,13,14,1,0,0,1,1,2,1,0,1,4,18,14,0.4,1.49,0.17,1,0,0,0,0,0,1,0,0,0,3,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,0,2,3,0,4538,0.86,0.46,0.4,4.15,4.83,3.52
